"schema","table","column","datatype"
nls,cdfi,naicscode,numeric
nls,daily_trial_balance,udf2_balance,numeric
nls,relationship_codes,rec_src,character varying
nls,cif_detail,userdef15,character varying
nls,loanacct_payment_history,user_reference,character varying
nls,nlsusers,salutation,character varying
nls,loan_transaction_codes,payment_associated_trans,numeric
nls,loanacct_detail,userdef15,character varying
nls,loanacct_gl_trans,transferred_flag,numeric
nls,loanacct,loan_number,character varying
nls,cdfi,creditscore,numeric
nls,daily_trial_balance,suspense_balance,numeric
nls,relationship_codes,load_date,character varying
nls,cif_detail,userdef16,character varying
nls,loanacct_payment_history,memoentry,numeric
nls,nlsusers,firstname,character varying
nls,loan_transaction_codes,add_payment_history,numeric
nls,loanacct_detail,userdef16,character varying
nls,loanacct_gl_trans,gl_debit_summary_id,numeric
nls,loanacct,tin,character varying
nls,cdfi,gender,numeric
nls,daily_trial_balance,late_charges_balance,numeric
nls,relationship_codes,job_id,character varying
nls,cif_detail,userdef17,character varying
nls,loanacct_payment_history,payment_method_no,numeric
nls,nlsusers,middlename,character varying
nls,loan_transaction_codes,loan_stats_3_trans_type,character varying
nls,loanacct_detail,userdef17,character varying
nls,loanacct_gl_trans,transferred_date,timestamp without time zone
nls,loanacct,entity,character varying
nls,cdfi,race,numeric
nls,daily_trial_balance,daily_per_diem,numeric
nls,cif_detail,userdef18,character varying
nls,loanacct_payment_history,payment_method_reference,character varying
nls,nlsusers,lastname,character varying
nls,loan_transaction_codes,loan_stats_4_trans_type,character varying
nls,loanacct_detail,userdef18,character varying
nls,loanacct_gl_trans,gl_credit_summary_id,numeric
nls,loanacct,input_date,timestamp without time zone
nls,cdfi,jobstimeofinvestment,numeric
nls,daily_trial_balance,udf3_balance,numeric
nls,cif_detail,userdef19,character varying
nls,loanacct_payment_history,late_fee_code,numeric
nls,nlsusers,suffix,character varying
nls,loan_transaction_codes,loan_stats_2_trans_type,character varying
nls,loanacct_detail,userdef19,character varying
nls,loanacct_gl_trans,user_defined_text,character varying
nls,loanacct,input_gl_date,timestamp without time zone
nls,cdfi,jobsreportingperiodend,numeric
nls,daily_trial_balance,udf4_balance,numeric
nls,cif_detail,userdef20,character varying
nls,loanacct_payment_history,batch_no,numeric
nls,nlsusers,title,character varying
nls,loan_transaction_codes,option_flags,numeric
nls,loanacct_detail,userdef20,character varying
nls,loanacct_gl_trans,suppress_transfer_flag,numeric
nls,loanacct,status_code_no,numeric
nls,cdfi,litpendusers,numeric
nls,daily_trial_balance,loan_origination_date,timestamp without time zone
nls,cif_detail,userdef21,character varying
nls,nlsusers,office,character varying
nls,loan_transaction_codes,trans1_debit_code,numeric
nls,loanacct_detail,userdef21,character varying
nls,loanacct_gl_trans,currencyid,numeric
nls,loanacct,loan_officer_no,numeric
nls,cdfi,otpeendusers,numeric
nls,loanacct_payment_history,userdef01,character varying
nls,daily_trial_balance,loan_maturity_date,timestamp without time zone
nls,cif_detail,userdef22,character varying
nls,loanacct_payment_history,ach_trace_number,character varying
nls,nlsusers,department,character varying
nls,loan_transaction_codes,trans1_credit_code,numeric
nls,loanacct_detail,userdef22,character varying
nls,loanacct_gl_trans,intaccrual_row_id,numeric
nls,loanacct,open_date,timestamp without time zone
nls,cdfi,iaendusers,numeric
nls,daily_trial_balance,udf5_balance,numeric
nls,cif_detail,userdef23,character varying
nls,loanacct_payment_history,userdef02,character varying
nls,nlsusers,street_address1,character varying
nls,loan_transaction_codes,trans2_debit_code,numeric
nls,loanacct_detail,userdef23,character varying
nls,loanacct_gl_trans,prev_loan_group_trans_flag,numeric
nls,loanacct,collection_officer_no,numeric
nls,cdfi,bankedatintake,numeric
nls,daily_trial_balance,udf6_balance,numeric
nls,cif_detail,userdef24,character varying
nls,loanacct_payment_history,userdef03,character varying
nls,nlsusers,street_address2,character varying
nls,loan_transaction_codes,trans2_credit_code,numeric
nls,loanacct_detail,userdef24,character varying
nls,loanacct_gl_trans,gl_debit_string,character varying
nls,loanacct,curr_date,timestamp without time zone
nls,cdfi,grossrevattimeofinv,numeric
nls,daily_trial_balance,udf7_balance,numeric
nls,cif_detail,userdef25,character varying
nls,loanacct_payment_history,userdef04,character varying
nls,nlsusers,city,character varying
nls,loan_transaction_codes,transaction_notes,character varying
nls,loanacct_detail,userdef25,character varying
nls,loanacct_gl_trans,gl_credit_string,character varying
nls,loanacct,open_maturity_date,timestamp without time zone
nls,cdfi,includeinreportflag,numeric
nls,daily_trial_balance,udf8_balance,numeric
nls,cif_detail,userdef26,character varying
nls,loanacct_payment_history,userdef05,character varying
nls,nlsusers,state,character varying
nls,loan_transaction_codes,trans3_debit_code,numeric
nls,loanacct_detail,userdef26,character varying
nls,loanacct,curr_maturity_date,timestamp without time zone
nls,cdfi,descofotherapprovedotptargeted,character varying
nls,daily_trial_balance,ol1_balance,numeric
nls,cif_detail,userdef27,character varying
nls,loanacct_payment_history,nsf_flag,numeric
nls,nlsusers,zip,character varying
nls,loan_transaction_codes,trans3_credit_code,numeric
nls,loanacct_detail,userdef27,character varying
nls,loanacct,payoff_date,timestamp without time zone
nls,cdfi,descofotherapprovedotpenduser,character varying
nls,daily_trial_balance,unamortized_inc_balance,numeric
nls,cif_detail,userdef28,character varying
nls,loanacct_payment_history,nsf_date,timestamp without time zone
nls,nlsusers,country,character varying
nls,loan_transaction_codes,trans4_debit_code,numeric
nls,loanacct_detail,userdef28,character varying
nls,loanacct,closed_date,timestamp without time zone
nls,daily_trial_balance,ol2_balance,numeric
nls,cdfi,creditscorepicklist,numeric
nls,cif_detail,userdef29,character varying
nls,loanacct_payment_history,bulk_payment_id,numeric
nls,nlsusers,home1_phone,character varying
nls,loan_transaction_codes,trans4_credit_code,numeric
nls,loanacct_detail,userdef29,character varying
nls,loanacct,last_activity_date,timestamp without time zone
nls,daily_trial_balance,ol3_balance,numeric
nls,cif_detail,userdef30,character varying
nls,loanacct_payment_history,paid_by_cifno,numeric
nls,nlsusers,home2_phone,character varying
nls,loan_transaction_codes,trans5_debit_code,numeric
nls,loanacct_detail,userdef30,character varying
nls,loanacct,processing_start_date,timestamp without time zone
nls,daily_trial_balance,udf9_balance,numeric
nls,cif_detail,userdef31,character varying
nls,nlsusers,home_fax_phone,character varying
nls,loan_transaction_codes,trans5_credit_code,numeric
nls,loanacct_detail,userdef31,character varying
nls,loanacct,interest_paid_thru_date,timestamp without time zone
nls,daily_trial_balance,udf10_balance,numeric
nls,cif_detail,userdef32,character varying
nls,nlsusers,business1_phone,character varying
nls,loan_transaction_codes,trans6_debit_code,numeric
nls,loanacct_detail,userdef32,character varying
nls,loanacct,principal_paid_thru_date,timestamp without time zone
nls,daily_trial_balance,days_past_due,numeric
nls,cif_detail,userdef33,character varying
nls,nlsusers,business2_phone,character varying
nls,loan_transaction_codes,trans6_credit_code,numeric
nls,loanacct_detail,userdef33,character varying
nls,loanacct,interest_accrued_thru_date,timestamp without time zone
nls,daily_trial_balance,eff_loan_amount,numeric
nls,cif_detail,userdef34,character varying
nls,nlsusers,business_fax_phone,character varying
nls,loan_transaction_codes,voucher_type_code_id,numeric
nls,loanacct_detail,userdef34,character varying
nls,loanacct,original_note_amount,numeric
nls,daily_trial_balance,eff_principal_balance,numeric
nls,cif_detail,userdef35,character varying
nls,nlsusers,mobile_phone,character varying
nls,loan_transaction_codes,force_voucher,numeric
nls,loanacct_detail,userdef35,character varying
nls,loanacct,current_note_amount,numeric
nls,daily_trial_balance,eff_interest_balance,numeric
nls,cif_detail,userdef36,character varying
nls,nlsusers,pager_phone,character varying
nls,loan_transaction_codes,voucher_reference,character varying
nls,loanacct_detail,userdef36,character varying
nls,loanacct,current_principal_balance,numeric
nls,daily_trial_balance,eff_fees_balance,numeric
nls,cif_detail,userdef37,character varying
nls,nlsusers,other_phone,character varying
nls,loan_transaction_codes,non_accrual_debit_code,numeric
nls,loanacct_detail,userdef37,character varying
nls,loanacct,current_interest_balance,numeric
nls,daily_trial_balance,eff_late_charges_balance,numeric
nls,cif_detail,userdef38,character varying
nls,loan_transaction_codes,non_accrual_credit_code,numeric
nls,loanacct_detail,userdef38,character varying
nls,loanacct,current_fees_balance,numeric
nls,daily_trial_balance,eff_suspense_balance,numeric
nls,nlsusers,email,character varying
nls,cif_detail,userdef39,character varying
nls,loan_transaction_codes,enter_charge_off_debit_code,numeric
nls,loanacct_detail,userdef39,character varying
nls,loanacct,current_def_interest_balance,numeric
nls,daily_trial_balance,eff_udf1_balance,numeric
nls,nlsusers,email2,character varying
nls,cif_detail,userdef40,character varying
nls,nlsusers,managers_userno,numeric
nls,loan_transaction_codes,enter_charge_off_credit_code,numeric
nls,loanacct_detail,userdef40,character varying
nls,loanacct,current_late_charge_balance,numeric
nls,daily_trial_balance,eff_udf2_balance,numeric
nls,cif_detail,userdef41,character varying
nls,nlsusers,windows_auth_only,numeric
nls,loan_transaction_codes,charge_off_debit_code,numeric
nls,loanacct_detail,userdef41,character varying
nls,loanacct,current_payoff_balance,numeric
nls,daily_trial_balance,eff_udf3_balance,numeric
nls,cif_detail,userdef42,character varying
nls,nlsusers,assistants_userno,numeric
nls,loan_transaction_codes,charge_off_credit_code,numeric
nls,loanacct_detail,userdef42,character varying
nls,loanacct,current_udf1_balance,numeric
nls,daily_trial_balance,eff_udf4_balance,numeric
nls,cif_detail,userdef43,character varying
nls,nlsusers,user_type,numeric
nls,loan_transaction_codes,force_due_date_to_system_date,numeric
nls,loanacct_detail,userdef43,character varying
nls,loanacct,current_perdiem,numeric
nls,daily_trial_balance,eff_udf5_balance,numeric
nls,cif_detail,userdef44,character varying
nls,nlsusers,logon_hours,character varying
nls,loanacct_detail,userdef44,character varying
nls,loanacct,current_suspense,numeric
nls,daily_trial_balance,eff_udf6_balance,numeric
nls,loan_transaction_codes,charge_off_debit_code2,numeric
nls,cif_detail,userdef45,character varying
nls,nlsusers,readonly_flag,numeric
nls,loanacct_detail,userdef45,character varying
nls,loanacct,current_udf2_balance,numeric
nls,daily_trial_balance,eff_udf7_balance,numeric
nls,loan_transaction_codes,charge_off_credit_code2,numeric
nls,cif_detail,userdef46,character varying
nls,nlsusers,telephonypin,character varying
nls,loanacct_detail,userdef46,character varying
nls,loanacct,current_interest_rate,numeric
nls,daily_trial_balance,eff_udf8_balance,numeric
nls,loan_transaction_codes,non_accrual_credit_code2,numeric
nls,cif_detail,userdef47,character varying
nls,nlsusers,telephonyextension,character varying
nls,loanacct_detail,userdef47,character varying
nls,loanacct,current_udf3_balance,numeric
nls,daily_trial_balance,eff_udf9_balance,numeric
nls,loan_transaction_codes,enter_charge_off_debit_code2,numeric
nls,cif_detail,userdef48,character varying
nls,nlsusers,telephonytsr,character varying
nls,loanacct_detail,userdef48,character varying
nls,loanacct,total_past_due_balance,numeric
nls,daily_trial_balance,eff_udf10_balance,numeric
nls,loan_transaction_codes,enter_charge_off_credit_code2,numeric
nls,cif_detail,userdef49,character varying
nls,nlsusers,telephonylistid,character varying
nls,loanacct_detail,userdef49,character varying
nls,loanacct,current_udf4_balance,numeric
nls,daily_trial_balance,eff_unamortized_inc_balance,numeric
nls,loan_transaction_codes,non_accrual_debit_code2,numeric
nls,cif_detail,userdef50,character varying
nls,nlsusers,telephonyappl,character varying
nls,loanacct_detail,userdef50,character varying
nls,loanacct,total_current_due_balance,numeric
nls,daily_trial_balance,eff_days_past_due,numeric
nls,cif_detail,userdef51,character varying
nls,nlsusers,telephonyscriptinput,character varying
nls,loanacct_detail,userdef51,character varying
nls,loanacct,current_udf5_balance,numeric
nls,daily_trial_balance,def_interest_balance,numeric
nls,cif_detail,userdef52,character varying
nls,loanacct_detail,userdef52,character varying
nls,loanacct,current_udf6_balance,numeric
nls,daily_trial_balance,eff_def_interest_balance,numeric
nls,nlsusers,mfa_flag,numeric
nls,cif_detail,userdef53,character varying
nls,loanacct_detail,userdef53,character varying
nls,loanacct,starting_interest_rate,numeric
nls,daily_trial_balance,eff_ol1_balance,numeric
nls,nlsusers,mfa_login_attempts,numeric
nls,cif_detail,userdef54,character varying
nls,loanacct_detail,userdef54,character varying
nls,loanacct,times_renewed,numeric
nls,daily_trial_balance,def_interest_rate,numeric
nls,nlsusers,mfa_phone,character varying
nls,cif_detail,userdef55,character varying
nls,loanacct_detail,userdef55,character varying
nls,loanacct,current_def_perdiem,numeric
nls,daily_trial_balance,eff_ol2_balance,numeric
nls,nlsusers,mfa_locked_flag,numeric
nls,cif_detail,userdef56,character varying
nls,loanacct_detail,userdef56,character varying
nls,loanacct,current_impound_balance,numeric
nls,daily_trial_balance,gl_loan_amount,numeric
nls,nlsusers,mfa_phone_subscribed,numeric
nls,cif_detail,userdef57,character varying
nls,loanacct_detail,userdef57,character varying
nls,loanacct,current_ol1_balance,numeric
nls,daily_trial_balance,eff_ol3_balance,numeric
nls,nlsusers,interface_user_flag,numeric
nls,cif_detail,userdef58,character varying
nls,loanacct_detail,userdef58,character varying
nls,loanacct,current_udf7_balance,numeric
nls,daily_trial_balance,gl_principal_balance,numeric
nls,nlsusers,authentication_secret,character varying
nls,cif_detail,userdef59,character varying
nls,loanacct_detail,userdef59,character varying
nls,loanacct,current_ol2_balance,numeric
nls,daily_trial_balance,gl_interest_balance,numeric
nls,nlsusers,upn,character varying
nls,cif_detail,userdef60,character varying
nls,loanacct_detail,userdef60,character varying
nls,loanacct,starting_year_interest_rate,numeric
nls,daily_trial_balance,gl_def_interest_balance,numeric
nls,cif_detail,userdef61,character varying
nls,loanacct_detail,userdef61,character varying
nls,loanacct,current_ol3_balance,numeric
nls,daily_trial_balance,gl_fees_balance,numeric
nls,cif_detail,userdef62,character varying
nls,loanacct_detail,userdef62,character varying
nls,loanacct,current_udf8_balance,numeric
nls,daily_trial_balance,gl_late_charges_balance,numeric
nls,cif_detail,userdef63,character varying
nls,loanacct_detail,userdef63,character varying
nls,loanacct,last_rate_change_date,timestamp without time zone
nls,daily_trial_balance,gl_suspense_balance,numeric
nls,cif_detail,userdef64,character varying
nls,loanacct_detail,userdef64,character varying
nls,loanacct,current_udf9_balance,numeric
nls,daily_trial_balance,gl_udf1_balance,numeric
nls,cif_detail,userdef65,character varying
nls,loanacct_detail,userdef65,character varying
nls,loanacct,times_extended,numeric
nls,daily_trial_balance,gl_udf2_balance,numeric
nls,cif_detail,userdef66,character varying
nls,loanacct_detail,userdef66,character varying
nls,loanacct,current_udf10_balance,numeric
nls,daily_trial_balance,gl_udf3_balance,numeric
nls,cif_detail,userdef67,character varying
nls,loanacct_detail,userdef67,character varying
nls,loanacct,next_rate_change_date,timestamp without time zone
nls,daily_trial_balance,gl_udf4_balance,numeric
nls,cif_detail,userdef68,character varying
nls,loanacct_detail,userdef68,character varying
nls,loanacct,next_interest_step_date,timestamp without time zone
nls,daily_trial_balance,gl_udf5_balance,numeric
nls,cif_detail,userdef69,character varying
nls,loanacct_detail,userdef69,character varying
nls,loanacct,default_interest_indicator,numeric
nls,daily_trial_balance,gl_udf6_balance,numeric
nls,cif_detail,userdef70,character varying
nls,loanacct_detail,userdef70,character varying
nls,loanacct,addonint_total,numeric
nls,daily_trial_balance,gl_udf7_balance,numeric
nls,cif_detail,userdef71,character varying
nls,loanacct_detail,userdef71,character varying
nls,loanacct,addonint_remaining,numeric
nls,daily_trial_balance,gl_udf8_balance,numeric
nls,cif_detail,userdef72,character varying
nls,loanacct_detail,userdef72,character varying
nls,loanacct,starting_year_def_int_rate,numeric
nls,daily_trial_balance,gl_udf9_balance,numeric
nls,cif_detail,userdef73,character varying
nls,loanacct_detail,userdef73,character varying
nls,loanacct,starting_def_interest_rate,numeric
nls,daily_trial_balance,gl_udf10_balance,numeric
nls,cif_detail,userdef74,character varying
nls,loanacct_detail,userdef74,character varying
nls,loanacct,next_rate_change_notice_date,timestamp without time zone
nls,daily_trial_balance,gl_unamortized_inc_balance,numeric
nls,cif_detail,userdef75,character varying
nls,loanacct_detail,userdef75,character varying
nls,loanacct,compound_interest_balance,numeric
nls,daily_trial_balance,gl_ol1_balance,numeric
nls,cif_detail,userdef76,character varying
nls,loanacct_detail,userdef76,character varying
nls,loanacct,current_def_interest_rate,numeric
nls,daily_trial_balance,gl_ol2_balance,numeric
nls,cif_detail,userdef77,character varying
nls,loanacct_detail,userdef77,character varying
nls,loanacct,next_accrual_cutoff,timestamp without time zone
nls,daily_trial_balance,gl_ol3_balance,numeric
nls,cif_detail,userdef78,character varying
nls,loanacct_detail,userdef78,character varying
nls,loanacct,last_def_rate_change_date,timestamp without time zone
nls,daily_trial_balance,servicing_balance,numeric
nls,cif_detail,userdef79,character varying
nls,loanacct_detail,userdef79,character varying
nls,loanacct,next_def_rate_change_date,timestamp without time zone
nls,daily_trial_balance,eff_servicing_balance,numeric
nls,cif_detail,userdef80,character varying
nls,loanacct_detail,userdef80,character varying
nls,loanacct,next_billing_date,timestamp without time zone
nls,daily_trial_balance,gl_servicing_balance,numeric
nls,loanacct,next_recurring_trans_date,timestamp without time zone
nls,daily_trial_balance,reserve_balance,numeric
nls,loanacct,next_def_interest_step_date,timestamp without time zone
nls,daily_trial_balance,eff_reserve_balance,numeric
nls,loanacct,next_statement1_date,timestamp without time zone
nls,daily_trial_balance,gl_reserve_balance,numeric
nls,loanacct,next_def_rate_change_notice,timestamp without time zone
nls,daily_trial_balance,impound_balance,numeric
nls,loanacct,days_in_current_period,numeric
nls,daily_trial_balance,eff_impound_balance,numeric
nls,loanacct,default_def_interest_indicator,numeric
nls,daily_trial_balance,gl_impound_balance,numeric
nls,loanacct,next_statement2_date,timestamp without time zone
nls,daily_trial_balance,gl_days_past_due,numeric
nls,loanacct,next_amort_fees_date,timestamp without time zone
nls,daily_trial_balance,unamortized_exp_balance,numeric
nls,loanacct,amortized_fees_eim_flag,numeric
nls,daily_trial_balance,eff_unamortized_exp_balance,numeric
nls,loanacct,days_past_due,numeric
nls,daily_trial_balance,gl_unamortized_exp_balance,numeric
nls,loanacct,compound_def_interest_balance,numeric
nls,daily_trial_balance,adb_interest_balance,numeric
nls,loanacct,compound_interest_indicator,numeric
nls,daily_trial_balance,eff_adb_interest_balance,numeric
nls,loanacct,compound_def_int_indicator,numeric
nls,daily_trial_balance,gl_adb_interest_balance,numeric
nls,loanacct,current_servicing_balance,numeric
nls,daily_trial_balance,portfolio_code_id,numeric
nls,loanacct,current_reserve_balance,numeric
nls,daily_trial_balance,modified_date_utc,timestamp without time zone
nls,loanacct,sac_expiration_date,timestamp without time zone
nls,loanacct,sac_ineligible_date,timestamp without time zone
nls,loanacct,currencyid,numeric
nls,loanacct,intro_interest_expiration,timestamp without time zone
nls,loanacct,intro_def_interest_expiration,timestamp without time zone
nls,loanacct,tin_hash,character varying
nls,loanacct,current_adb_interest_balance,numeric
nls,loanacct,branch_cifno,numeric
nls,loanacct,statement1_billing_end_date,timestamp without time zone
nls,loanacct,statement2_billing_end_date,timestamp without time zone
nls,loanacct,current_tierrateno,numeric
nls,loanacct,current_def_tierrateno,numeric
nls,loanacct,non_accrual_start_date,timestamp without time zone
nls,loanacct,charge_off_start_date,timestamp without time zone
nls,loanacct,last_billing_date,timestamp without time zone
nls,loanacct,lcguid,character varying
nls,loanacct,lcguiddate,timestamp without time zone
nls,loanacct,funded_date,timestamp without time zone
nls,loanacct,borrower_loan_nickname,character varying
nls,loanacct,contractualjurisdiction,character varying
nls,loanacct,original_recourse_amount,numeric
nls,loanacct,servicing_loan_group_no,numeric
nls,loanacct,concurrency_control,timestamp without time zone
